SL NO,District,Location Name As Per List,Location Address,Location Category,Hotspot included in Phase 
1317,Palakkad, TH Elappully,"Taluk hospital Elappully,Petta,Elappully,Kerala678622",Hospital,Phase-2
1318,Palakkad, THQH Alathoor,"Government Taluk Hospital,Alathur,Kerala 678541",Hospital,Phase-2
1319,Palakkad, THQH Chittur,"Government Taluk Hospital,14/20,SH25,chittur,kerala,678101",Hospital,Phase-2
1320,Palakkad, THQH Mannarkad,"Government Taluk Hospital,hospital Jn,mannarkkad,kerala 678582",Hospital,Phase-2
1321,Palakkad, THQH Ottappalam,"Taluk headquartershospital,ottappalam,kerala,679102",Hospital,Phase-2
1322,Malappuram,Agriculture University,"Agriculture University Tavanur, Kelappaji College of Agricultural Engineering, Tavanur P O, 679573 Pin",University/College,Phase-2
1323,Malappuram,Changaramkulam,"Alamkod Gramapanchayth  Office,Changaramkulam.Changaramkulam PO, Malappuram 679575",Panchayat office,Phase-2
1324,Malappuram,Aligarh University,"Aligarh University, Chelemala, Cherukara, 679340 Pin",University/College,Phase-2
1325,Malappuram,Amarambalam Panchayath office,"Amarambalam Panchayath office, Pookkotumpadam,Pin 679332",Panchayat office,Phase-1
1326,Malappuram,Anakkayam,"Anakkayam Panchayath office, Anakkayam, PIN 676509,",Panchayat office,Phase-1
1327,Malappuram,Angadipuram Junction,"Angadippuram Village Office, Angadippuram Po 679321",Village Office,Phase-1
1328,Malappuram,SS College Areacode,"Sullumussalam Arts and Science College Areacode ,Areacode,Pin 673639",University/College,Phase-2
1329,Malappuram,TH Areacode," Ernad Taluk Hospital Areacode, Areekode, Kerala 673639",Hospital,Phase-2
1330,Malappuram,Karippol,"Athavanad Grama Panchayath Office ,Karippol, Kerala 676553",Panchayat office,Phase-2
1331,Malappuram,College padi chenguvetty,"Ayurveda College Hospital,Changuvetty,Kottakkal, 676501",University/College,Phase-2
1332,Malappuram,Calicut University 2,"Calicut University Exam Bhavan, Malappuram (District), Calicut University PO, PIN 673 635",University/College,Phase-2
1333,Malappuram,Calicut University 3,"Calicut University Library, Calicut University PO, PIN 673 635",Library,Phase-2
1334,Malappuram,Calicut University 1," Tagore Niketan University Of Calicut, Calicut University PO, PIN 673 635",University/College,Phase-2
1335,Malappuram,Chaliyar Panchayath Office,"Chaliyar Panchayath Office, Akampadam,Pin 679329",Panchayat office,Phase-1
1336,Malappuram,Thazhe Chelari/Mele Chelari,"Chelari School, VHSS School, Chelari PO,673635",School,Phase-2
1337,Malappuram,Idimuzhikkal,"Chelembra Village office,Idimuzhikkal, 673634 Pin",Village Office,Phase-2
1338,Malappuram,"Cherumbu Eco Village, Karivarakundu","Cherumbu Eco Village  Karuvarakundu, Chirakkal,Karuvarakundu ,676523",Tourist Place,Phase-2
1339,Malappuram,Chockad Panchayath Office,"Chockad Panchayath Office, Chockad,Pin 679332",Panchayat office,Phase-1
1340,Malappuram,Civil Station,"District PSC Ofiice Building, Civil Station Malappuram, Pin 676505",Civi Station/Mini Civil station,Phase-1
1341,Malappuram,District Court Manjeri," District Court Manjeri, Kacherippadi,Manjeri, 676121",Court,Phase-2
1342,Malappuram,District Panchayath Malappuram,"District Panchayath Office Malappuram ,Civil Station Malappuram, Pin 676505",Panchayat office,Phase-1
1343,Malappuram,Civil Station,"Collectorate Malappuram , Civil Station Malappuram, Pin 676505",Civi Station/Mini Civil station,Phase-1
1344,Malappuram,Edakkara Panchayath Office,"Edakkara Panchayath Office, Edakkara PO ,Pin 679331",Panchayat office,Phase-1
1345,Malappuram,Edakkara Town,"Govt. High School Edakkara,Edakkara Po, 673104 Pin",School,Phase-2
1346,Malappuram,EDAPPAL,"Edappal village office , Amshakacheri , Edappal PO, 679576 Pin",Village Office,Phase-2
1347,Malappuram,Edappatta Panchayath Office,"Edappatta Panchayath Office, Karuvarakundu - Perinthalmanna Rd, Epikad, Kerala 679326",Panchayat office,Phase-1
1348,Malappuram,Edarikkode,"Edarikkode Gramapanchayath, Edarikkode PO, 676501",Panchayat office,Phase-1
1349,Malappuram,Edavannna,"Edavanna Panchayath office,Edavanna ,Pin 676541",Panchayat office,Phase-1
1350,Malappuram,Edavannapara Jn,"Vazhakkad Sub Registrar office,K.K. Tower Edavannappara, Chevayoor P.O, Vazhakkad - 673 645",Govt Office,Phase-2
1351,Malappuram,Elamkulam,"Elamkulam villege office Buiding,Kunnakkavu PO ,Malappuram 679340",Village Office,Phase-2
1352,Malappuram,"EMS Hospital,Perinthalmanna","EMS Memmorial Cooperative Hospital,Panambi, Perinthalmanna  679322",Hospital,Phase-1
1353,Malappuram,Haj house karippur,"Kerala State Haj Committee office Karippur ,Calicut Airport Road, 673647",Govt Office,Phase-2
1354,Malappuram,Kadambuzha,"Marakkara Grama Panchayath,  NH 17,Randathani,Malappuram Pin 676510",Panchayat office,Phase-1
1355,Malappuram,Kalikavu Block Panchayath Office,"Kalikavu Block Panchayat, Kalikavu, Malappuram. Kerala676525",Block Office,Phase-1
1356,Malappuram,Govt Hospital Kalikavu,"Govt Hospital Kalikavu ,Kalikavu,Pin 676525",Hospital,Phase-2
1357,Malappuram,KALIKAVU GP,"Kalikavu Panchayath office, Kalikavu, Kerala 676525",Panchayat office,Phase-2
1358,Malappuram,Karathode,"LP School Karathode, Karathode PO, 676519 Pin",School,Phase-2
1359,Malappuram,Karulayi Bus stand,"Karulayi Bus stand, Library building, Karulayi, Pin 679330",Library,Phase-2
1360,Malappuram,Punnakkad Village Office,"Karuvarakund Village Office, Punnakkad, Karuvarakund PO,676523",Village Office,Phase-2
1361,Malappuram,KARAVAKUNDU GP,"Karuvarakundu Panchayathu Office , Karuvarakundu, Kerala 676523",Panchayat office,Phase-2
1362,Malappuram,kodur Samskarika vayana shala,"Kodur Grama panchayath ,chemmenkadavu, kodur -676504",Panchayat office,Phase-2
1363,Malappuram,Kondotty Bus Stand,"Kondotty Bus Stand, Police aid post, Kondotty ,Pin 673638",Bus Stand,Phase-2
1364,Malappuram,Padinjattumuri,"Kootilangadi Panchayath Office ,Padinjattumuri, Kootilangadi PO Malappuram,676001",Panchayat office,Phase-1
1365,Malappuram,Kottakkal Bus stand,"Kottakkal Bus stand, Kottakkal, PIN 676503",Bus Stand,Phase-2
1366,Malappuram,Thazhe kottakkal,"Village office kottakkal, Thazhe kottakkal, kottakkal PO, 676503",Village Office,Phase-2
1367,Malappuram,Kottakunnu Toursim Park,"Kottakunnu Toursim Park, Kottakkunnu, Malappuram 676505",Tourist Place,Phase-2
1368,Malappuram,Padapparamb,"Kuruva Panchayath Office,Kuruva P.O  Malappuram Kerala 676504",Panchayat office,Phase-1
1369,Malappuram,Kavumpuram,"Kuttippuram Block Panchayath Office,Kavumpuram, Pin 676552",Block Office,Phase-1
1370,Malappuram,TH Kuttippuram," Taluk Hospital Kuttippuram, NH 17, Kuttippuram, Kerala 679571",Hospital,Phase-2
1371,Malappuram,Kuttipuram Bus Stand,"Kuttipuram Bus Stand, Audit office, Kuttippuram, PIN 679571",Bus Stand,Phase-2
1372,Malappuram,Kuttipuram Mini civil Station,"Kuttipuram Panchayath office, Kuttipuram Mini civil Building, kuttipuram, 679571",Civi Station/Mini Civil station,Phase-2
1373,Malappuram,"Nilayoram park, Kuttipuram","Nilayoram park kuttipuram, Tirur road kuttipuram,kerala,679571",Tourist Place,Phase-2
1374,Malappuram,Makkaraparambu,"Makkaraparambu Panchayath office, Makkaraparambu 676507 PIN",Panchayat office,Phase-1
1375,Malappuram,Munduparamba,"Malappuram Govt College, Munduparamba, PIN 676509,",University/College,Phase-2
1376,Malappuram,Kottapadi Taluk Hospital,"Govt. Taluk Hospital Malappuram, Kottapadi, Down Hill- PO, Pin 6765",Hospital,Phase-1
1377,Malappuram,"KSRTC Bus stand, Malappuram","KSRTC Bus stand, Up hill, Malappuram P.O  676505",Bus Stand,Phase-1
1378,Malappuram,Municipal Office Malappuram,"Municipal Office Malappuram, Naer Bus Stand, Down Hill, Malappuram, Kerala 676505",Municipal Office,Phase-2
1379,Malappuram,Shanthiteeram Riverside Park,"Shanthiteeram Riverside Park, Civil station road, Malappuram,676505",Tourist Place,Phase-2
1380,Malappuram,Malayalam University,"Malayalam Univiersity Tirur, Vakkad, Tirur, 676105",University/College,Phase-1
